item1:49, item2:33, item3:31
item1:8, item2:73, item3:57
item1:2, item2:40, item3:55
item1:63, item2:46, item3:14
item1:51, item2:6, item3:34
item1:58, item2:10, item3:2
item1:99, item2:62, item3:75
item1:5, item2:36, item3:51
item1:4, item2:31, item3:33
item1:68, item2:84, item3:20
item1:70, item2:92, item3:46
item1:62, item2:42, item3:47
item1:32, item2:23, item3:46
item1:83, item2:10, item3:8
item1:80, item2:51, item3:50
item1:6, item2:73, item3:61
item1:96, item2:51, item3:39
item1:90, item2:85, item3:38
item1:97, item2:32, item3:40
item1:80, item2:42, item3:47
item1:6, item2:53, item3:45
item1:6, item2:61, item3:11
item1:41, item2:59, item3:34
item1:33, item2:88, item3:3
item1:85, item2:41, item3:39
item1:99, item2:65, item3:95
item1:99, item2:36, item3:45
item1:60, item2:75, item3:90
item1:98, item2:86, item3:23
item1:22, item2:71, item3:33
item1:47, item2:37, item3:28
item1:43, item2:63, item3:49
item1:52, item2:59, item3:68
item1:93, item2:95, item3:71
item1:15, item2:31, item3:48
item1:40, item2:99, item3:13
item1:8, item2:37, item3:55
item1:43, item2:43, item3:35
item1:94, item2:84, item3:67
item1:17, item2:40, item3:15
item1:66, item2:13, item3:50
item1:50, item2:84, item3:73
item1:2, item2:50, item3:74
item1:75, item2:63, item3:14
item1:7, item2:30, item3:94
item1:44, item2:78, item3:66
item1:90, item2:39, item3:61
item1:4, item2:26, item3:35
item1:22, item2:24, item3:76
item1:83, item2:52, item3:56
item1:40, item2:63, item3:75
item1:61, item2:27, item3:88
item1:34, item2:53, item3:51
item1:30, item2:20, item3:61
item1:33, item2:99, item3:66
item1:70, item2:82, item3:3
item1:92, item2:10, item3:5
item1:19, item2:69, item3:91
item1:67, item2:95, item3:68
item1:53, item2:3, item3:50
item1:94, item2:66, item3:26
item1:22, item2:93, item3:92
item1:51, item2:75, item3:36
item1:81, item2:80, item3:97
item1:88, item2:77, item3:9
item1:85, item2:57, item3:25
item1:93, item2:9, item3:57
item1:11, item2:36, item3:65
item1:62, item2:39, item3:99
item1:48, item2:4, item3:29
item1:20, item2:33, item3:90
item1:53, item2:34, item3:35
item1:50, item2:4, item3:66
item1:84, item2:45, item3:68
item1:40, item2:63, item3:57
item1:23, item2:98, item3:23
item1:88, item2:7, item3:94
item1:27, item2:35, item3:82
item1:73, item2:45, item3:6
item1:92, item2:98, item3:48
item1:35, item2:69, item3:19
item1:55, item2:74, item3:7
item1:81, item2:67, item3:47
item1:67, item2:32, item3:10
item1:36, item2:64, item3:35
item1:84, item2:69, item3:83
item1:78, item2:88, item3:47
item1:11, item2:42, item3:89
item1:11, item2:84, item3:69
item1:69, item2:31, item3:72
item1:25, item2:66, item3:98
item1:71, item2:6, item3:50
item1:21, item2:32, item3:68
item1:53, item2:1, item3:15
item1:98, item2:80, item3:38
item1:69, item2:24, item3:58
item1:3, item2:21, item3:32
item1:52, item2:96, item3:80
item1:94, item2:89, item3:57
item1:14, item2:65, item3:81
item1:21, item2:55, item3:33
item1:96, item2:18, item3:99
item1:67, item2:39, item3:78
item1:65, item2:24, item3:57
item1:61, item2:32, item3:2
item1:24, item2:13, item3:39
item1:90, item2:45, item3:65
item1:40, item2:74, item3:11
item1:79, item2:81, item3:15
item1:31, item2:31, item3:44
item1:95, item2:33, item3:91
item1:64, item2:39, item3:46
item1:19, item2:22, item3:89
item1:15, item2:49, item3:32
item1:97, item2:2, item3:3
item1:51, item2:77, item3:26
item1:36, item2:82, item3:66
item1:27, item2:81, item3:78
item1:82, item2:94, item3:52
item1:9, item2:24, item3:56
item1:12, item2:77, item3:39
item1:39, item2:7, item3:99
item1:5, item2:34, item3:47
item1:48, item2:57, item3:90
item1:75, item2:97, item3:78
item1:41, item2:70, item3:39
item1:83, item2:17, item3:89
item1:80, item2:1, item3:80
item1:40, item2:25, item3:36
item1:99, item2:97, item3:57
item1:77, item2:99, item3:65
item1:90, item2:33, item3:6
item1:100, item2:12, item3:55
item1:93, item2:10, item3:91
item1:69, item2:56, item3:23
item1:38, item2:14, item3:72
item1:94, item2:46, item3:79
item1:15, item2:80, item3:65
item1:86, item2:100, item3:6
item1:88, item2:25, item3:7
item1:44, item2:19, item3:44
item1:57, item2:3, item3:92
item1:45, item2:74, item3:28
item1:31, item2:75, item3:42
item1:45, item2:43, item3:35
item1:80, item2:67, item3:6
item1:48, item2:92, item3:65
item1:20, item2:45, item3:27
item1:37, item2:64, item3:96
item1:89, item2:24, item3:75
item1:98, item2:12, item3:83
item1:97, item2:49, item3:69
item1:34, item2:13, item3:95
item1:14, item2:9, item3:33
item1:6, item2:31, item3:97
item1:7, item2:45, item3:76
item1:56, item2:87, item3:11
item1:4, item2:32, item3:15
item1:71, item2:70, item3:37
item1:18, item2:58, item3:33
item1:56, item2:45, item3:97
item1:91, item2:39, item3:38
item1:70, item2:17, item3:28
item1:13, item2:28, item3:80
item1:81, item2:63, item3:12
item1:47, item2:36, item3:22
item1:4, item2:61, item3:48
item1:57, item2:48, item3:94
item1:91, item2:14, item3:32
item1:35, item2:34, item3:58
item1:8, item2:44, item3:90
item1:94, item2:55, item3:86
item1:26, item2:87, item3:8
item1:1, item2:98, item3:73
item1:66, item2:62, item3:83
item1:58, item2:73, item3:12
item1:19, item2:14, item3:53
item1:9, item2:15, item3:62
item1:84, item2:22, item3:32
item1:50, item2:74, item3:5
item1:19, item2:16, item3:26
item1:22, item2:79, item3:7
item1:79, item2:59, item3:64
item1:17, item2:11, item3:52
item1:86, item2:14, item3:68
item1:6, item2:58, item3:86
item1:33, item2:82, item3:25
item1:30, item2:15, item3:27
item1:63, item2:2, item3:81
item1:15, item2:33, item3:1
item1:74, item2:38, item3:30
item1:38, item2:100, item3:26
item1:74, item2:97, item3:88
item1:91, item2:8, item3:36
item1:66, item2:30, item3:1
item1:44, item2:44, item3:56
item1:83, item2:47, item3:65
item1:67, item2:98, item3:33
item1:71, item2:29, item3:80
item1:34, item2:21, item3:4
item1:60, item2:23, item3:52
item1:83, item2:70, item3:60
item1:20, item2:18, item3:67
item1:94, item2:47, item3:70
item1:25, item2:54, item3:7
item1:33, item2:82, item3:31
item1:96, item2:23, item3:75
item1:93, item2:57, item3:86
item1:86, item2:1, item3:46
item1:41, item2:72, item3:64
item1:75, item2:14, item3:65
item1:54, item2:46, item3:78
item1:14, item2:53, item3:90
item1:18, item2:91, item3:10
item1:91, item2:18, item3:54
item1:44, item2:59, item3:85
item1:89, item2:12, item3:63
